sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Dan Byles","64","North Warwickshire","Conservative","1370","3672","2277","http://sexymp.co.uk/mp/93.jpg","M","E14000854","66024","North Warwickshire","England","78.45","249","82.44999999999999","247.5","17.75","288","20.4","279","overlapped_by (calculated average)","E07000218,E07000219"
"Mark Field","65","Cities of London and Westminster","Conservative","1427","3550","2451","http://sexymp.co.uk/mp/201.jpg","M","E14000639","65759","Cities of London and Westminster","England","81.1","45","85.1","23","20.6","7","23","13","overlapped_by (calculated average)","E09000033"
"Mark Francois","66","Rayleigh and Wickford","Conservative","1489","3100","2370","http://sexymp.co.uk/mp/210.jpg","M","E14000888","65795","Rayleigh and Wickford","England","80.35","109","83.75","129","19.200000000000003","113.5","21.45","145.5","overlapped_by (calculated average)","E07000066,E07000075"
"Steve Baker","67","Wycombe","Conservative","1405","3620","2413","http://sexymp.co.uk/mp/24.jpg","M","E14001056","66010","Wycombe","England","81.3","37","84.2","83","19.9","26","22.1","53","covered_by","E07000007"
"Clive Efford","68","Eltham","Labour","1520","3374","2716","http://sexymp.co.uk/mp/180.jpg","M","E14000690","65816","Eltham","England","78.5","247","82.2","266","17.6","304","20.5","267","covered_by","E09000011"
"Smith Henry","69","Crawley","Conservative","1401","3695","2450","http://sexymp.co.uk/mp/549.jpg","M","E14000652","65781","Crawley","England","79.4","183","83.6","138","18.7","187","21.8","95","covered_by","E07000226"
"Brian Donohoe","70","Central Ayrshire","Labour","1472","3860","2893","http://sexymp.co.uk/mp/162.jpg","M","S14000010","14407","Central Ayrshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Mark Harper","71","Forest of Dean","Conservative","1370","3804","2396","http://sexymp.co.uk/mp/264.jpg","M","E14000705","66064","Forest of Dean","England","80.2","121","84.1","89","18.9","147","22.1","52","overlapped_by (calculated average)","E07000083"
"Andrea Leadsom","72","South Northamptonshire","Conservative","1809","25809","29738","http://sexymp.co.uk/mp/353.jpg","F","E14000942","65902","South Northamptonshire","England","79.80000000000001","158","83.1","181","18.75","158.5","21.25","169.5","overlapped_by (calculated average)","E07000154,E07000155"
"Phillip Lee","73","Bracknell","Conservative","1444","3285","2364","http://sexymp.co.uk/mp/355.jpg","M","E14000586","65697","Bracknell","England","81.19999999999999","45.5","84.25","78","19.65","53.5","21.700000000000003","110","overlapped_by (calculated average)","E06000036,E06000041"
"Julian Sturdy","74","York Outer","Conservative","1448","3277","2370","http://sexymp.co.uk/mp/572.jpg","M","E14001062","66037","York Outer","England","79.6","172","83.2","181","18.5","201","21.3","159","covered_by","E06000014"
"Douglas Carswell","75","Clacton","Conservative","1545","3171","2666","http://sexymp.co.uk/mp/104.jpg","M","E14000642","66030","Clacton","England","78","275","81.9","291","17.9","264","20.8","239","covered_by","E07000076"
"Stuart Andrew","76","Pudsey","Conservative","1418","3345","2306","http://sexymp.co.uk/mp/15.jpg","M","E14000886","65637","Pudsey","England","78","272","82.1","272","17.7","292","20.3","291","covered_by","E08000035"
"Richard Benyon","77","Newbury","Conservative","1417","3892","2688","http://sexymp.co.uk/mp/43.jpg","M","E14000830","65862","Newbury","England","80.8","67","84.6","44","19.4","81","22.5","30","covered_by","E06000037"
"David Cameron","78","Witney","Conservative","1488","4230","3293","http://sexymp.co.uk/mp/97.jpg","M","E14001046","65622","Witney","England","80.7","72","83.7","128","19.4","94","21.4","157","covered_by","E07000181"
"Tom Greatrix","79","Rutherglen and Hamilton West","Labour Co-operative","1544","3400","2876","http://sexymp.co.uk/mp/240.jpg","M","S14000056","14453","Rutherglen and Hamilton West","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Simon Hart","80","Carmarthen West and South Pembrokeshire","Conservative","1424","3220","2262","http://sexymp.co.uk/mp/268.jpg","M","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales","79.4","184","82.5","243","18.9","150","21","205","covered_by","W06000009"
"Daniel Kawczynski","81","Shrewsbury and Atcham","Conservative","1385","3803","2504","http://sexymp.co.uk/mp/334.jpg","M","E14000926","65563","Shrewsbury and Atcham","England","79.8","151","83.8","117","19","135","21.6","127","covered_by","E06000051"
"Jonathan Reynolds","82","Stalybridge and Hyde","Labour Co-operative","1508","3418","2754","http://sexymp.co.uk/mp/503.jpg","M","E14000967","65960","Stalybridge and Hyde","England","76.3","339","80.6","334","17","336","19.1","342","covered_by","E08000008"
"James Wharton","83","Stockton South","Conservative","1390","3457","2307","http://sexymp.co.uk/mp/616.jpg","M","E14000971","65908","Stockton South","England","78.3","254","82.3","254","17.8","278","20.7","251","covered_by","E06000004"
"Hugh Robertson","84","Faversham and Mid Kent","Conservative","1456","3207","2399","http://sexymp.co.uk/mp/509.jpg","M","E14000700","65764","Faversham and Mid Kent","England","79.6","168","83.05000000000001","190","18.5","204.5","20.950000000000003","215.5","overlapped_by (calculated average)","E07000110,E07000113"
"Craig Whittacker","85","Calder Valley","Conservative","1450","3147","2331","http://sexymp.co.uk/mp/621.jpg","M","E14000614","65906","Calder Valley","England","77.5","308","82.2","267","17.5","311","20.7","253","covered_by","E08000033"
"Chris Heaton-Harris","86","Daventry","Conservative","1509","2955","2402","http://sexymp.co.uk/mp/276.jpg","M","E14000660","66025","Daventry","England","81.1","69","84.05000000000001","96","19.65","57.5","22","78","overlapped_by (calculated average)","E07000155,E07000156"
"Daniel Poulter","87","Central Suffolk and North Ipswich","Conservative","1460","3197","2415","http://sexymp.co.uk/mp/485.jpg","M","E14000624","65748","Central Suffolk and North Ipswich","England","80.53333333333333","98","84.06666666666668","102.66666666666667","19.333333333333332","93.66666666666667","21.933333333333334","92","overlapped_by (calculated average)","E07000202,E07000203,E07000205"
"Jason McCartney","88","Colne Valley","Conservative","1492","3126","2485","http://sexymp.co.uk/mp/395.jpg","M","E14000645","65835","Colne Valley","England","78.2","261","82","286","18","255","20.3","294","covered_by","E08000034"
"Rehman Chishti","89","Gillingham and Rainham","Conservative","1397","3359","2295","http://sexymp.co.uk/mp/108.jpg","M","E14000711","65864","Gillingham and Rainham","England","78.5","243","82.2","268","17.7","291","20.4","277","covered_by","E06000035"
"Gordon Marsden","90","Blackpool South","Labour","1523","3219","2689","http://sexymp.co.uk/mp/388.jpg","M","E14000573","65679","Blackpool South","England","74","346","80","344","16.5","344","19.3","335","covered_by","E06000009"
"Jenny Willot","91","Cardiff Central","Liberal Democrat","1526","32523","27323","http://sexymp.co.uk/mp/632.jpg","F","W07000050","66090","Cardiff Central","Wales","78.2","259","82.7","233","17.8","276","21","204","covered_by","W06000015"
"Damian Collins","92","Folkestone and Hythe","Conservative","1419","3371","2409","http://sexymp.co.uk/mp/121.jpg","M","E14000704","65779","Folkestone and Hythe","England","81.3","40","84.4","73","19.7","42","22.1","56","overlapped_by (calculated average)","E07000105"
"Matthew Offord","93","Hendon","Conservative","1383","3848","2576","http://sexymp.co.uk/mp/461.jpg","M","E14000741","65754","Hendon","England","81.4","32","84.5","53","19.9","22","22.3","44","covered_by","E09000003"
"Ben Gummer","94","Ipswich","Conservative","1432","3482","2545","http://sexymp.co.uk/mp/248.jpg","M","E14000761","65925","Ipswich","England","79.3","194","83.4","169","18.6","191","21.6","134","covered_by","E07000202"
"Damian hinds","95","East Hampshire","Conservative","1417","3229","2303","http://sexymp.co.uk/mp/287.jpg","M","E14000680","65569","East Hampshire","England","81.2","43","84.2","85","19.6","54","21.6","133","covered_by","E07000085"
"Gavin Williamson","96","South Staffordshire","Conservative","1392","3244","2217","http://sexymp.co.uk/mp/631.jpg","M","E14000945","65943","South Staffordshire","England","80.1","130","83.2","182","18.7","184","21.2","173","covered_by","E07000196"
"Karl McCartney","97","Lincoln","Conservative","1458","3138","2404","http://sexymp.co.uk/mp/396.jpg","M","E14000792","65704","Lincoln","England","79.2","187.5","82.55","233","18.35","209.5","20.9","215.5","overlapped_by (calculated average)","E07000138,E07000139"
"David Morris","98","Morecambe and Lunesdale","Conservative","1383","3452","2325","http://sexymp.co.uk/mp/435.jpg","M","E14000825","65633","Morecambe and Lunesdale","England","77.4","314","82.2","264","17.6","300","20.8","234","covered_by","E07000121"
"Jesse Norman","99","Hereford and South Herefordshire","Conservative","1442","3699","2762","http://sexymp.co.uk/mp/457.jpg","M","E14000743","65582","Hereford and South Herefordshire","England","79.7","157","83.7","124","18.9","155","22","70","covered_by","E06000019"
"Steve Brine","100","Winchester","Conservative","1361","3702","2399","http://sexymp.co.uk/mp/71.jpg","M","E14001041","65921","Winchester","England","81.8","16.5","85.4","17","19.799999999999997","35","22.75","25","overlapped_by (calculated average)","E07000086,E07000094"
"Alan Johnson","101","Kingston upon Hull West and Hessle","Labour","1565","3156","2832","http://sexymp.co.uk/mp/320.jpg","M","E14000773","65984","Kingston upon Hull West and Hessle","England","78.1","251.5","81.7","274.5","17.75","261.5","20.1","287.5","overlapped_by (calculated average)","E06000011,E06000010"
"Russell Brown","102","Dumfries and Galloway","Labour","1552","3101","2733","http://sexymp.co.uk/mp/77.jpg","M","S14000013","14410","Dumfries and Galloway","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Nick Herbert","103","Arundel and South Downs","Conservative","1413","3323","2377","http://sexymp.co.uk/mp/282.jpg","M","E14000534","65784","Arundel and South Downs","England","81.025","62.75","84.175","83.5","19.625","60","21.975","83.5","overlapped_by (calculated average)","E07000224,E07000225,E07000227,E07000228"
"Andrew Jones","104","Harrogate and Knaresborough","Conservative","1420","3184","2300","http://sexymp.co.uk/mp/324..jpg","M","E14000730","65578","Harrogate and Knaresborough","England","80.6","85","83.8","121","19.3","101","21.8","105","covered_by","E07000165"
