sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Caroline Dinenage","52","Gosport","Conservative","1470","38319","26987","http://sexymp.co.uk/mp/154.jpg","E14000713","65928","Gosport","England","1322100","647500","674600","11397","5389","6008","50","30","81","8.6","454.5","524.8","396.7","3.3","2","5.3","covered_by","E10000014"
"Stuart Andrew","53","Pudsey","Conservative","1445","3293","2239","http://sexymp.co.uk/mp/15.jpg","E14000886","65637","Pudsey","England","750700","368000","382700","6362","3065","3297","43","33","98","8.5","578.9","682.4","493.6","4.2","3.3","9.6","covered_by","E08000035"
"Nick Hurd","54","Ruislip, Northwood and Pinner","Conservative","1429","3490","2308","http://sexymp.co.uk/mp/310.jpg","E14000906","65681","Ruislip, Northwood and Pinner","England","258000","127850","130150","1597","788.5","808.5","15.5","9.5","26.5","6.2","446.35","527.1","377.85","4.1","2.5","6.699999999999999","overlapped_by (calculated average)","E09000015,E09000017"
"Jeremy Browne","55","Taunton Deane","Liberal Democrat","1535","3080","2420","http://sexymp.co.uk/mp/78.jpg","E14000988","65767","Taunton Deane","England","110600","53600","57000","1184","564","620","3","2","0","10.7","496.6","615.4","396.3","2.3","0","0","covered_by","E07000190"
"Chris Kelly","56","Dudley South","Conservative","1377","3918","2362","http://sexymp.co.uk/mp/337.jpg","E14000672","66054","Dudley South","England","313300","153900","159400","2933","1458","1475","13","11","21","9.4","538.4","652.8","445.3","3.5","3","5.6","covered_by","E08000027"
"Robert Halfon","57","Harlow","Conservative","1438","3599","2432","http://sexymp.co.uk/mp/253.jpg","E14000729","65875","Harlow","England","1396600","681800","714800","12864","6082","6782","64","46","113","9.2","499","580.6","430.9","3.9","2.8","6.9","covered_by","E10000012"
"Jeremy Hunt","58","South West Surrey","Conservative","1424","3679","2427","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England","121800","59400","62400","1050","473","577","6","5","8","8.6","407","465.8","358","4.6","3.9","6.2","covered_by","E07000216"
"Jake Berry","59","Rossendale and Darwen","Conservative","1381","3729","2276","http://sexymp.co.uk/mp/47.jpg","E14000902","66019","Rossendale and Darwen","England","462466.6666666667","227466.66666666666","234933.33333333334","4510.666666666667","2194.6666666666665","2316","30","19.333333333333332","47.333333333333336","9.3","618.4333333333333","739.9666666666667","514.0666666666667","5.066666666666666","2.3000000000000003","6.466666666666666","overlapped_by (calculated average)","E06000008,E10000017,E07000125"
"Mark Prisk","60","Hertford and Stortford","Conservative","1593","2974","2546","http://sexymp.co.uk/mp/488.jpg","E14000744","66003","Hertford and Stortford","England","138200","67900","70300","951","469","482","4","3","10","6.9","434.5","521.7","367.4","2.3","1.7","5.8","covered_by","E07000242"
"Caroline Spelman","61","Meriden","Conservative","1533","34254","26936","http://sexymp.co.uk/mp/557.jpg","E14000812","65932","Meriden","England","206900","100400","106400","1789","895","894","10","8","19","8.6","459.6","558.9","386.8","4.2","3.4","8","covered_by","E08000029"
