sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Stephen Barclay","78","North East Cambridgeshire","Conservative","1362","3516","2235","http://sexymp.co.uk/mp/29.jpg","E14000842","66063","North East Cambridgeshire","England","79.5","172.33333333333334","83.53333333333335","160.66666666666666","18.833333333333332","160","21.600000000000005","143","overlapped_by (calculated average)","E06000031,E07000009,E07000010"
"Andrew Bridgen","79","North West Leicestershire","Conservative","1604","3049","2830","http://sexymp.co.uk/mp/70.jpg","E14000858","65776","North West Leicestershire","England","79.4","186","83","199","18.6","196","21","209","covered_by","E07000134"
"Gordon Marsden","80","Blackpool South","Labour","1525","3192","2665","http://sexymp.co.uk/mp/388.jpg","E14000573","65679","Blackpool South","England","74","346","80","344","16.5","344","19.3","335","covered_by","E06000009"
"Chris White","81","Warwick and Leamington","Conservative","1372","3419","2226","http://sexymp.co.uk/mp/618.jpg","E14001019","65608","Warwick and Leamington","England","80.4","100","84.7","36","19.4","88","22.7","23","covered_by","E07000222"
"Malcom Wicks","82","Croydon North","Labour","1494","2854","2274","http://sexymp.co.uk/mp/623.jpg","E14000655","65867","Croydon North","England","79.2","197","83.2","183","18.5","203","21.2","172","covered_by","E09000008"
"Robert Buckland","83","South Swindon","Conservative","1488","2995","2366","http://sexymp.co.uk/mp/83.jpg","E14000947","65800","South Swindon","England","79.3","196","82.7","227","18.5","204","20.9","216","covered_by","E06000030"
"Barry Gardiner","84","Brent North","Labour","1602","3071","2855","http://sexymp.co.uk/mp/217.jpg","E14000592","65595","Brent North","England","79.9","145","84.5","59","19.2","105","22.4","36","covered_by","E09000005"
"William Hague","85","Richmond (Yorks)","Conservative","1494","3557","2844","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England","81.3","41","85.5","12","19.7","39","22.8","19","overlapped_by (calculated average)","E07000164"
"Dai Harvard","86","Merthyr Tydfil and Rhymney","Labour","1613","2968","2799","http://sexymp.co.uk/mp/271.jpg","W07000071","66086","Merthyr Tydfil and Rhymney","Wales","77.5","305","81.3","316.5","17.4","313","19.450000000000003","330.5","overlapped_by (calculated average)","W06000024,W06000018"
"Jeremy Hunt","87","South West Surrey","Conservative","1387","3712","2489","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England","81.9","13","85.1","22","20.3","10","22.9","15","covered_by","E07000216"
