sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country"
"Craig Whittacker","85","Calder Valley","Conservative","1450","3147","2331","http://sexymp.co.uk/mp/621.jpg","M","E14000614","65906","Calder Valley","England"
"Chris Heaton-Harris","86","Daventry","Conservative","1509","2955","2402","http://sexymp.co.uk/mp/276.jpg","M","E14000660","66025","Daventry","England"
"Daniel Poulter","87","Central Suffolk and North Ipswich","Conservative","1460","3197","2415","http://sexymp.co.uk/mp/485.jpg","M","E14000624","65748","Central Suffolk and North Ipswich","England"
"Jason McCartney","88","Colne Valley","Conservative","1492","3126","2485","http://sexymp.co.uk/mp/395.jpg","M","E14000645","65835","Colne Valley","England"
"Rehman Chishti","89","Gillingham and Rainham","Conservative","1397","3359","2295","http://sexymp.co.uk/mp/108.jpg","M","E14000711","65864","Gillingham and Rainham","England"
"Gordon Marsden","90","Blackpool South","Labour","1523","3219","2689","http://sexymp.co.uk/mp/388.jpg","M","E14000573","65679","Blackpool South","England"
"Jenny Willot","91","Cardiff Central","Liberal Democrat","1526","32523","27323","http://sexymp.co.uk/mp/632.jpg","F","W07000050","66090","Cardiff Central","Wales"
"Damian Collins","92","Folkestone and Hythe","Conservative","1419","3371","2409","http://sexymp.co.uk/mp/121.jpg","M","E14000704","65779","Folkestone and Hythe","England"
"Matthew Offord","93","Hendon","Conservative","1383","3848","2576","http://sexymp.co.uk/mp/461.jpg","M","E14000741","65754","Hendon","England"
"Ben Gummer","94","Ipswich","Conservative","1432","3482","2545","http://sexymp.co.uk/mp/248.jpg","M","E14000761","65925","Ipswich","England"
"Damian hinds","95","East Hampshire","Conservative","1417","3229","2303","http://sexymp.co.uk/mp/287.jpg","M","E14000680","65569","East Hampshire","England"
"Gavin Williamson","96","South Staffordshire","Conservative","1392","3244","2217","http://sexymp.co.uk/mp/631.jpg","M","E14000945","65943","South Staffordshire","England"
"Karl McCartney","97","Lincoln","Conservative","1458","3138","2404","http://sexymp.co.uk/mp/396.jpg","M","E14000792","65704","Lincoln","England"
"David Morris","98","Morecambe and Lunesdale","Conservative","1383","3452","2325","http://sexymp.co.uk/mp/435.jpg","M","E14000825","65633","Morecambe and Lunesdale","England"
"Jesse Norman","99","Hereford and South Herefordshire","Conservative","1442","3699","2762","http://sexymp.co.uk/mp/457.jpg","M","E14000743","65582","Hereford and South Herefordshire","England"
"Steve Brine","100","Winchester","Conservative","1361","3702","2399","http://sexymp.co.uk/mp/71.jpg","M","E14001041","65921","Winchester","England"
