sep=,
"name","ranking","constituency","party","score","won","lost","image","gender","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Eric Ollerenshaw","63","Lancaster and Fleetwood","Conservative","1101","16115","4860","http://sexymp.co.uk/mp/462.jpg","M","E14000776","65568","Lancaster and Fleetwood","England","1171600","575400","596100","11676","5661","6015","74","48","116","10","579.4","683.7","490.2","5.4","3.5","8.4","covered_by","E10000017"
"Dan Byles","64","North Warwickshire","Conservative","1370","3672","2277","http://sexymp.co.uk/mp/93.jpg","M","E14000854","66024","North Warwickshire","England","546600","269600","277000","4823","2371","2452","28","21","46","8.8","495.1","593.6","415.4","4.5","3.3","7.3","covered_by","E10000031"
"Mark Field","65","Cities of London and Westminster","Conservative","1427","3550","2451","http://sexymp.co.uk/mp/201.jpg","M","E14000639","65759","Cities of London and Westminster","England","219600","112000","107600","1083","560","523","11","7","16","4.9","442.6","514.6","375.5","3.6","2.3","5.2","overlapped_by (calculated average)","E09000033"
"Mark Francois","66","Rayleigh and Wickford","Conservative","1489","3100","2370","http://sexymp.co.uk/mp/210.jpg","M","E14000888","65795","Rayleigh and Wickford","England","1396600","681800","714800","12864","6082","6782","64","46","113","9.2","499","580.6","430.9","3.9","2.8","6.9","covered_by","E10000012"
"Steve Baker","67","Wycombe","Conservative","1405","3620","2413","http://sexymp.co.uk/mp/24.jpg","M","E14001056","66010","Wycombe","England","172000","84800","87200","1213","579","634","7","5","17","7.1","453","522.5","389.6","3.1","2.2","7.5","covered_by","E07000007"
"Clive Efford","68","Eltham","Labour","1520","3374","2716","http://sexymp.co.uk/mp/180.jpg","M","E14000690","65816","Eltham","England","255500","126900","128600","1543","778","765","14","12","40","6","553","689.1","449.6","3.1","2.6","8.7","covered_by","E09000011"
"Smith Henry","69","Crawley","Conservative","1401","3695","2450","http://sexymp.co.uk/mp/549.jpg","M","E14000652","65781","Crawley","England","107100","52900","54100","732","370","362","7","3","11","6.8","493.8","615.3","400.9","4.1","1.7","6.4","covered_by","E07000226"
"Brian Donohoe","70","Central Ayrshire","Labour","1472","3860","2893","http://sexymp.co.uk/mp/162.jpg","M","S14000010","14407","Central Ayrshire","Scotland","111600","53500","58000","1412","655","757","8","3","8","12.7","621.6","712.5","551.1","7.5","2.8","7.4","covered_by","S12000028"
"Mark Harper","71","Forest of Dean","Conservative","1370","3804","2396","http://sexymp.co.uk/mp/264.jpg","M","E14000705","66064","Forest of Dean","England","598300","293300","305000","5470","2656","2814","19","10","43","9.1","484.1","583.6","401.2","2.8","1.5","6.4","covered_by","E10000013"
"Andrea Leadsom","72","South Northamptonshire","Conservative","1809","25809","29738","http://sexymp.co.uk/mp/353.jpg","F","E14000942","65902","South Northamptonshire","England","694000","342300","351600","5720","2797","2923","46","33","82","8.2","540.8","631.6","460.4","5","3.6","8.8","covered_by","E10000021"
"Phillip Lee","73","Bracknell","Conservative","1444","3285","2364","http://sexymp.co.uk/mp/355.jpg","M","E14000586","65697","Bracknell","England","134300","66600","67700","872.5","400","472.5","5","4","14.5","6.45","452.6","495.75","412.95","2.85","1.6","8.35","overlapped_by (calculated average)","E06000036,E06000041"
"Julian Sturdy","74","York Outer","Conservative","1448","3277","2370","http://sexymp.co.uk/mp/572.jpg","M","E14001062","66037","York Outer","England","197800","96300","101500","1794","894","900","8","5","13","9.1","526.5","650.8","429","3.9","2.4","6.2","covered_by","E06000014"
