sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal","match_type","matched_by"
"Justin Tomlinson","75","North Swindon","Conservative","1455","3167","2334","http://sexymp.co.uk/mp/587.jpg","E14000851","65760","North Swindon","England","209700","104900","104800","1605","775","830","8","6","22","7.7","539.2","614.9","476.6","2.7","2","7.3","covered_by","E06000030"
"John Mann","76","Bassetlaw","Labour","1534","3110","2609","http://sexymp.co.uk/mp/387.jpg","E14000546","65711","Bassetlaw","England","113000","56100","56900","1119","571","548","5","4","13","9.9","558.4","675.1","460.8","3.9","3.1","10","covered_by","E07000171"
"Clive Efford","77","Eltham","Labour","1503","3347","2694","http://sexymp.co.uk/mp/180.jpg","E14000690","65816","Eltham","England","255500","126900","128600","1543","778","765","14","12","40","6","553","689.1","449.6","3.1","2.6","8.7","covered_by","E09000011"
"Stephen Barclay","78","North East Cambridgeshire","Conservative","1362","3516","2235","http://sexymp.co.uk/mp/29.jpg","E14000842","66063","North East Cambridgeshire","England","246625","122625","124000","1911.25","942","969.25","12.5","8.5","21.5","8.35","499.85","601.75","418.65000000000003","4.45","3.0749999999999997","7.425","overlapped_by (calculated average)","E06000031,E10000003,E07000009,E07000010"
"Andrew Bridgen","79","North West Leicestershire","Conservative","1604","3049","2830","http://sexymp.co.uk/mp/70.jpg","E14000858","65776","North West Leicestershire","England","93700","46400","47200","784","390","394","7","5","7","8.4","497.7","599.3","405.7","6.9","5","6.9","covered_by","E07000134"
"Gordon Marsden","80","Blackpool South","Labour","1525","3192","2665","http://sexymp.co.uk/mp/388.jpg","E14000573","65679","Blackpool South","England","142100","69700","72300","1818","913","905","7","4","19","12.8","728.6","902.2","577.3","4","2.3","10.9","covered_by","E06000009"
"Chris White","81","Warwick and Leamington","Conservative","1372","3419","2226","http://sexymp.co.uk/mp/618.jpg","E14001019","65608","Warwick and Leamington","England","137700","68700","69000","1106","547","559","7","4","7","8","469","571.5","381.4","4.5","2.6","4.5","covered_by","E07000222"
"Malcom Wicks","82","Croydon North","Labour","1494","2854","2274","http://sexymp.co.uk/mp/623.jpg","E14000655","65867","Croydon North","England","364800","176900","187900","2365","1145","1220","23","13","43","6.5","513","606.6","435.6","4","2.3","7.5","covered_by","E09000008"
"Robert Buckland","83","South Swindon","Conservative","1488","2995","2366","http://sexymp.co.uk/mp/83.jpg","E14000947","65800","South Swindon","England","209700","104900","104800","1605","775","830","8","6","22","7.7","539.2","614.9","476.6","2.7","2","7.3","covered_by","E06000030"
"Barry Gardiner","84","Brent North","Labour","1602","3071","2855","http://sexymp.co.uk/mp/217.jpg","E14000592","65595","Brent North","England","312200","157300","155000","1471","791","680","31","21","50","4.7","458","561.7","368.1","5.9","4","9.5","covered_by","E09000005"
"William Hague","85","Richmond (Yorks)","Conservative","1494","3557","2844","http://sexymp.co.uk/mp/251.jpg","E14000895","65722","Richmond (Yorks)","England","601200","296400","304800","6049","2844","3205","19","14","35","10.1","495","579.3","425.4","3.1","2.3","5.8","covered_by","E10000023"
"Dai Harvard","86","Merthyr Tydfil and Rhymney","Labour","1613","2968","2799","http://sexymp.co.uk/mp/271.jpg","W07000071","66086","Merthyr Tydfil and Rhymney","Wales","118850","58200","60600","1130","557.5","572.5","5.5","3.5","12","9.7","618.25","749","507.25","4.25","2.9","9","overlapped_by (calculated average)","W06000024,W06000018"
"Jeremy Hunt","87","South West Surrey","Conservative","1387","3712","2489","http://sexymp.co.uk/mp/306.jpg","E14000953","65678","South West Surrey","England","121800","59400","62400","1050","473","577","6","5","8","8.6","407","465.8","358","4.6","3.9","6.2","covered_by","E07000216"
"Andrew Rosindell","88","Romford","Conservative","1510","3049","2497","http://sexymp.co.uk/mp/514.jpg","E14000900","66077","Romford","England","237900","114500","123400","2105","999","1106","12","8","21","8.8","477.8","584.1","395.2","4.1","2.8","7.2","covered_by","E09000016"
"David Ruttley","89","Macclesfield","Conservative","1478","3178","2482","http://sexymp.co.uk/mp/523.jpg","E14000802","65896","Macclesfield","England","370700","181700","189000","3420","1576","1844","15","11","29","9.2","480.5","545.4","424.5","3.7","2.7","7.2","covered_by","E06000049"
