sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Huw Irranca-Davies","96","Ogmore","Labour","1495","3504","2680","http://sexymp.co.uk/mp/311.jpg","W07000074","66107","Ogmore","Wales"
"Ian Paisley","97","North Antrim","Democratic Unionist","1483","3287","2471","http://sexymp.co.uk/mp/470.jpg","N06000012","66135","North Antrim","Northern Ireland"
"Rob Wilson","98","Reading East","Conservative","1442","3303","2323","http://sexymp.co.uk/mp/634.jpg","E14000889","65973","Reading East","England"
"Michael Elliss","99","Northampton North","Conservative","1493","3068","2348","http://sexymp.co.uk/mp/182.jpg","E14000861","66059","Northampton North","England"
"Angela Watkinson","100","Hornchurch and Upminster","Conservative","1620","29713","27180","http://sexymp.co.uk/mp/610.jpg","E14000751","66069","Hornchurch and Upminster","England"
"Cheryl Gillan","101","Chesham and Amersham","Conservative","1654","28371","27171","http://sexymp.co.uk/mp/225.jpg","E14000631","65801","Chesham and Amersham","England"
"Kevan Jones","102","North Durham","Labour","1585","2952","2585","http://sexymp.co.uk/mp/328.jpg","E14000840","65745","North Durham","England"
"Mike Wood","103","Batley and Spen","Labour","1596","2948","2617","http://sexymp.co.uk/mp/640.jpg","E14000548","65751","Batley and Spen","England"
"Clive Efford","104","Eltham","Labour","1519","3293","2637","http://sexymp.co.uk/mp/180.jpg","E14000690","65816","Eltham","England"
"Tobias Ellwood","105","Bournemouth East","Conservative","1374","3696","2321","http://sexymp.co.uk/mp/185.jpg","E14000584","65993","Bournemouth East","England"
"John Whittingdale","106","Maldon","Conservative","1556","2991","2521","http://sexymp.co.uk/mp/622.jpg","E14000806","65661","Maldon","England"
"George Freeman","107","Mid Norfolk","Conservative","1569","2983","2566","http://sexymp.co.uk/mp/211.jpg","E14000816","65949","Mid Norfolk","England"
"Kwasi Kwarteng","108","Spelthorne","Conservative","1596","2950","2637","http://sexymp.co.uk/mp/343.jpg","E14000959","65942","Spelthorne","England"
"Angus MacNiel","109","Na h-Eileanan an Iar","Scottish National Party","1517","3338","2668","http://sexymp.co.uk/mp/381.jpg","S14000027","14444","Na h-Eileanan an Iar","Scotland"
"Iain Stewart","110","Milton Keynes South","Conservative","1485","3201","2440","http://sexymp.co.uk/mp/563.jpg","E14000822","66076","Milton Keynes South","England"
"Edward Timson","111","Crewe and Nantwich","Conservative","1393","3331","2175","http://sexymp.co.uk/mp/586.jpg","E14000653","65572","Crewe and Nantwich","England"
"Kevin Barron","112","Rother Valley","Labour","1677","2882","2859","http://sexymp.co.uk/mp/32.jpg","E14000903","65930","Rother Valley","England"
"Andrew Murrison","113","South West Wiltshire","Conservative","1513","2974","2371","http://sexymp.co.uk/mp/450.jpg","E14000954","65956","South West Wiltshire","England"
"Justin Tomlinson","114","North Swindon","Conservative","1458","3124","2284","http://sexymp.co.uk/mp/587.jpg","E14000851","65760","North Swindon","England"
"Graham Brady","115","Altrincham and Sale West","Conservative","1508","3094","2449","http://sexymp.co.uk/mp/65.jpg","E14000532","65892","Altrincham and Sale West","England"
"David Burrowes","116","Enfield, Southgate","Conservative","1453","3222","2335","http://sexymp.co.uk/mp/89.jpg","E14000692","65567","Enfield, Southgate","England"
"Nick Clegg","117","Sheffield, Hallam","Liberal Democrat","1519","3505","2822","http://sexymp.co.uk/mp/115.jpg","E14000922","65741","Sheffield, Hallam","England"
"Steve Baker","118","Wycombe","Conservative","1387","3572","2318","http://sexymp.co.uk/mp/24.jpg","E14001056","66010","Wycombe","England"
"David Nuttal","119","Bury North","Conservative","1515","3043","2441","http://sexymp.co.uk/mp/458.jpg","E14000611","66015","Bury North","England"
"Peter Bottomley","120","Worthing West","Conservative","1567","3012","2601","http://sexymp.co.uk/mp/62.jpg","E14001055","65562","Worthing West","England"
"Malcom Wicks","121","Croydon North","Labour","1508","2797","2220","http://sexymp.co.uk/mp/623.jpg","E14000655","65867","Croydon North","England"
"Jonathan Djanogly","122","Huntingdon","Conservative","1536","2946","2443","http://sexymp.co.uk/mp/155.jpg","E14000757","65592","Huntingdon","England"
"Jackie Doyle-Price","123","Thurrock","Conservative","1630","28033","26335","http://sexymp.co.uk/mp/168.jpg","E14000995","65919","Thurrock","England"
"Matthew Hancock","124","West Suffolk","Conservative","1427","3131","2193","http://sexymp.co.uk/mp/259.jpg","E14001034","65629","West Suffolk","England"
"Damian hinds","125","East Hampshire","Conservative","1430","3160","2223","http://sexymp.co.uk/mp/287.jpg","E14000680","65569","East Hampshire","England"
"David Laws","126","Yeovil","Liberal Democrat","1454","3529","2586","http://sexymp.co.uk/mp/351.jpg","E14001060","65935","Yeovil","England"
"Christopher Pincher","127","Tamworth","Conservative","1466","3120","2333","http://sexymp.co.uk/mp/484.jpg","E14000986","65880","Tamworth","England"
"Mark Spencer","128","Sherwood","Conservative","1525","3098","2531","http://sexymp.co.uk/mp/558.jpg","E14000924","65632","Sherwood","England"
"Stephen Crabb","129","Preseli Pembrokeshire","Conservative","1486","3181","2463","http://sexymp.co.uk/mp/128.jpg","W07000065","66102","Preseli Pembrokeshire","Wales"
"John Cryer","130","Leyton and Wanstead","Labour","1662","2816","2772","http://sexymp.co.uk/mp/135.jpg","E14000790","66013","Leyton and Wanstead","England"
"George Eustice","131","Camborne and Redruth","Conservative","1368","3518","2223","http://sexymp.co.uk/mp/189.jpg","E14000616","65826","Camborne and Redruth","England"
"Philip Hammond","132","Runnymede and Weybridge","Conservative","1557","2949","2527","http://sexymp.co.uk/mp/257.jpg","E14000907","65589","Runnymede and Weybridge","England"
"Stewart Jackson","133","Peterborough","Conservative","1714","2657","2779","http://sexymp.co.uk/mp/313.jpg","E14000878","65649","Peterborough","England"
"David Anderson","134","Blaydon","Labour","1777","2669","2995","http://sexymp.co.uk/mp/14.jpg","E14000574","65805","Blaydon","England"
"Richard Fuller","135","Bedford","Conservative","1425","3439","2417","http://sexymp.co.uk/mp/214.jpg","E14000552","65561","Bedford","England"
"Jim Murphy","136","East Renfrewshire","Labour","1576","3166","2796","http://sexymp.co.uk/mp/446.jpg","S14000021","14418","East Renfrewshire","Scotland"
"Sam Gyimah","137","East Surrey","Conservative","1402","3391","2297","http://sexymp.co.uk/mp/250.jpg","E14000681","65856","East Surrey","England"
"Fabian Hamilton","138","Leeds North East","Labour","1693","2813","2886","http://sexymp.co.uk/mp/256.jpg","E14000779","65866","Leeds North East","England"
"Gareth Johnson","139","Dartford","Conservative","1577","2993","2654","http://sexymp.co.uk/mp/322.jpg","E14000659","66011","Dartford","England"
"Gordon Marsden","140","Blackpool South","Labour","1531","3136","2608","http://sexymp.co.uk/mp/388.jpg","E14000573","65679","Blackpool South","England"
"James Morris","141","Halesowen and Rowley Regis","Conservative","1382","3581","2337","http://sexymp.co.uk/mp/437.jpg","E14000722","65971","Halesowen and Rowley Regis","England"
"Daniel Poulter","142","Central Suffolk and North Ipswich","Conservative","1457","3136","2332","http://sexymp.co.uk/mp/485.jpg","E14000624","65748","Central Suffolk and North Ipswich","England"
"Bill Wiggin","143","North Herefordshire","Conservative","1520","3177","2596","http://sexymp.co.uk/mp/624.jpg","E14000847","65642","North Herefordshire","England"
"Nadhim Zawahi","144","Stratford-on-Avon","Conservative","1545","3032","2571","http://sexymp.co.uk/mp/649.jpg","E14000977","65648","Stratford-on-Avon","England"
"Mick Crockart","145","Edinburgh West","Liberal Democrat","1711","2751","2886","http://sexymp.co.uk/mp/132.jpg","S14000026","14423","Edinburgh West","Scotland"
"Ben Gummer","146","Ipswich","Conservative","1436","3414","2459","http://sexymp.co.uk/mp/248.jpg","E14000761","65925","Ipswich","England"
"George Hollinberry","147","Meon Valley","Conservative","1425","3307","2336","http://sexymp.co.uk/mp/292.jpg","E14000811","65772","Meon Valley","England"
"Stewart Hosie","148","Dundee East","Scottish National Party","1613","2952","2749","http://sexymp.co.uk/mp/299.jpg","S14000015","14412","Dundee East","Scotland"
"Tami Mark","149","Alyn and Deeside","Labour","1551","3055","2623","http://sexymp.co.uk/mp/579.jpg","W07000043","66103","Alyn and Deeside","Wales"
