sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country","life_exp_birth_male_years","life_exp_birth_male_rank","life_exp_birth_female_years","life_exp_birth_female_rank","life_exp_65_male_years","life_exp_65_male_rank","life_exp_65_female_years","life_exp_65_female_rank","match_type","matched_by"
"Crispin Blunt","78","Reigate","Conservative","1517","3130","2449","http://sexymp.co.uk/mp/59.jpg","E14000893","66005","Reigate","England","80.8","65","84","98","19.4","87","21.4","156","covered_by","E07000211"
"Kevin Brennan","79","Cardiff West","Labour","1567","3154","2657","http://sexymp.co.uk/mp/69.jpg","W07000079","66114","Cardiff West","Wales","78.9","211.5","83.05000000000001","199","18.200000000000003","233","21.4","152","overlapped_by (calculated average)","W06000014,W06000015"
"Andy Burnham","80","Leigh","Labour","1548","3314","2713","http://sexymp.co.uk/mp/86.jpg","E14000785","65978","Leigh","England","77.4","317","80.8","330","17.2","326","19.3","334","covered_by","E08000010"
"Nic Dakin","81","Scunthorpe","Labour","1646","2856","2673","http://sexymp.co.uk/mp/140.jpg","E14000914","66027","Scunthorpe","England","78.3","251","82.8","224","18","260","21","206","covered_by","E06000013"
"Jon Ashworth","82","Leicester South","Labour","1575","2977","2541","http://sexymp.co.uk/mp/17.jpg","E14000783","65604","Leicester South","England","77","326","81.8","293","17.3","320","20.3","292","covered_by","E06000016"
"Graham Evans","83","Weaver Vale","Conservative","1601","2940","2600","http://sexymp.co.uk/mp/191.jpg","E14001024","65769","Weaver Vale","England","78.15","260.5","81.69999999999999","275.5","17.8","266.5","20.05","288","overlapped_by (calculated average)","E06000050,E06000006"
"Eleanor Laing","84","Epping Forest","Conservative","1491","36120","27253","http://sexymp.co.uk/mp/344.jpg","E14000693","66044","Epping Forest","England","80.2","114","83.8","123","19.3","103","21.5","143","covered_by","E07000072"
"Maria Miller","85","Basingstoke","Conservative","1491","34569","26088","http://sexymp.co.uk/mp/423.jpg","E14000545","65623","Basingstoke","England","80.8","66","83","198","19.6","57","20.6","257","covered_by","E07000084"
"David Cameron","86","Witney","Conservative","1507","4150","3209","http://sexymp.co.uk/mp/97.jpg","E14001046","65622","Witney","England","80.7","72","83.7","128","19.4","94","21.4","157","covered_by","E07000181"
"Eric Joyce","87","Falkirk","Labour","1598","2964","2615","http://sexymp.co.uk/mp/332.jpg","S14000028","14424","Falkirk","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Graeme Morris","88","Livingston","Labour","1739","2748","2880","http://sexymp.co.uk/mp/433.jpg","S14000044","14440","Livingston","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Julian Brazier","89","Canterbury","Conservative","1568","2954","2502","http://sexymp.co.uk/mp/68.jpg","E14000619","65878","Canterbury","England","80.2","118","83.4","162","18.9","145","21.3","163","covered_by","E07000106"
"Russell Brown","90","Dumfries and Galloway","Labour","1597","3018","2657","http://sexymp.co.uk/mp/77.jpg","S14000013","14410","Dumfries and Galloway","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Joseph Johnson","91","Orpington","Conservative","1401","3608","2351","http://sexymp.co.uk/mp/323.jpg","E14000872","65682","Orpington","England","81","51","84.5","51","19.6","62","21.9","84","covered_by","E09000006"
"Tim Laughton","92","East Worthing and Shoreham","Conservative","1578","2924","2515","http://sexymp.co.uk/mp/374.jpg","E14000682","65780","East Worthing and Shoreham","England","78.8","227","82.9","207","18.3","219","21.1","184","overlapped_by (calculated average)","E07000229"
"Adam Afriyie","93","Windsor","Conservative","1489","3324","2516","http://sexymp.co.uk/mp/5.jpg","E14001042","65552","Windsor","England","80.13333333333334","121","83.76666666666667","127","19.033333333333335","133","21.566666666666666","131.33333333333334","overlapped_by (calculated average)","E06000036,E06000039,E06000040"
"Brian Donohoe","94","Central Ayrshire","Labour","1479","3731","2782","http://sexymp.co.uk/mp/162.jpg","S14000010","14407","Central Ayrshire","Scotland","0","0","0","0","0","0","0","0","no match (Scotland unavailable)",""
"Chris Evans","95","Islwyn","Labour Co-operative","1375","4375","2727","http://sexymp.co.uk/mp/190.jpg","W07000077","66097","Islwyn","Wales","77.6","299","81.5","309","17.3","319","19.6","324","covered_by","W06000018"
"Huw Irranca-Davies","96","Ogmore","Labour","1495","3504","2680","http://sexymp.co.uk/mp/311.jpg","W07000074","66107","Ogmore","Wales","76.66666666666667","332.6666666666667","80.93333333333334","327","17.2","323.3333333333333","19.666666666666668","325.3333333333333","overlapped_by (calculated average)","W06000012,W06000013,W06000016"
"Ian Paisley","97","North Antrim","Democratic Unionist","1483","3287","2471","http://sexymp.co.uk/mp/470.jpg","N06000012","66135","North Antrim","Northern Ireland","0","0","0","0","0","0","0","0","no match (Northern Ireland unavailable)",""
"Rob Wilson","98","Reading East","Conservative","1442","3303","2323","http://sexymp.co.uk/mp/634.jpg","E14000889","65973","Reading East","England","80","136","83.6","140","18.9","143","21.35","158.5","overlapped_by (calculated average)","E06000038,E06000041"
"Michael Elliss","99","Northampton North","Conservative","1493","3068","2348","http://sexymp.co.uk/mp/182.jpg","E14000861","66059","Northampton North","England","77.4","312","81.8","295","17.6","294","20.3","289","covered_by","E07000154"
"Angela Watkinson","100","Hornchurch and Upminster","Conservative","1620","29713","27180","http://sexymp.co.uk/mp/610.jpg","E14000751","66069","Hornchurch and Upminster","England","79.25","197","83.1","183.5","18.25","231.5","21.1","186","overlapped_by (calculated average)","E06000034,E09000016"
