sep=,
"name","ranking","constituency","party","score","won","lost","image","area_gss_code","area_id","area_mapit_name","country"
"Jacob Rees-Mogg","106","North East Somerset","Conservative","1546","3152","2762","http://sexymp.co.uk/mp/498.jpg","E14000846","65619","North East Somerset","England"
"Stephen Twigg","107","Liverpool, West Derby","Labour Co-operative","1515","3181","2666","http://sexymp.co.uk/mp/594.jpg","E14000796","65766","Liverpool, West Derby","England"
"Chris Evans","108","Islwyn","Labour Co-operative","1349","4419","2821","http://sexymp.co.uk/mp/190.jpg","W07000077","66097","Islwyn","Wales"
"Michael Fallon","109","Sevenoaks","Conservative","1525","2959","2524","http://sexymp.co.uk/mp/196.jpg","E14000918","65698","Sevenoaks","England"
"Liam Fox","110","North Somerset","Conservative","1467","3350","2622","http://sexymp.co.uk/mp/208.jpg","E14000850","65817","North Somerset","England"
"Kris Hopkins","111","Keighley","Conservative","1590","2922","2722","http://sexymp.co.uk/mp/297.jpg","E14000766","65871","Keighley","England"
"Nick Hurd","112","Ruislip, Northwood and Pinner","Conservative","1376","3532","2376","http://sexymp.co.uk/mp/310.jpg","E14000906","65681","Ruislip, Northwood and Pinner","England"
"John Leech","113","Manchester, Withington","Liberal Democrat","1526","3161","2699","http://sexymp.co.uk/mp/356.jpg","E14000809","65819","Manchester, Withington","England"
"Nigel Adams","114","Selby and Ainsty","Conservative","1572","2903","2645","http://sexymp.co.uk/mp/4.jpg","E14000917","65842","Selby and Ainsty","England"
"Mark Simmonds","115","Boston and Skegness","Conservative","1416","3213","2317","http://sexymp.co.uk/mp/539.jpg","E14000582","65969","Boston and Skegness","England"
"Andrew Stephenson","116","Pendle","Conservative","1453","3061","2344","http://sexymp.co.uk/mp/560.jpg","E14000875","65668","Pendle","England"
"Steve Brine","117","Winchester","Conservative","1349","3685","2353","http://sexymp.co.uk/mp/71.jpg","E14001041","65921","Winchester","England"
"Alan Campbell","118","Tynemouth","Labour","1625","2875","2801","http://sexymp.co.uk/mp/98.jpg","E14001006","65868","Tynemouth","England"
"Frank Field","119","Birkenhead","Labour","1527","2979","2556","http://sexymp.co.uk/mp/200.jpg","E14000559","65581","Birkenhead","England"
"Bernard Jenkin","120","Harwich and North Essex","Conservative","1419","3308","2402","http://sexymp.co.uk/mp/319.jpg","E14000734","65674","Harwich and North Essex","England"
"Graham Jones","121","Hyndburn","Labour","1446","3448","2615","http://sexymp.co.uk/mp/326.jpg","E14000758","65899","Hyndburn","England"
"Brandon Lewis","122","Great Yarmouth","Conservative","1456","3123","2411","http://sexymp.co.uk/mp/362.jpg","E14000717","65627","Great Yarmouth","England"
"Aiden Burley","123","Cannock Chase","Conservative","1349","3523","2262","http://sexymp.co.uk/mp/85.jpg","E14000618","65790","Cannock Chase","England"
"Ben Gummer","124","Ipswich","Conservative","1417","3463","2516","http://sexymp.co.uk/mp/248.jpg","E14000761","65925","Ipswich","England"
"Robert Halfon","125","Harlow","Conservative","1387","3633","2507","http://sexymp.co.uk/mp/253.jpg","E14000729","65875","Harlow","England"
"Oliver Heald","126","North East Hertfordshire","Conservative","1476","3046","2429","http://sexymp.co.uk/mp/273.jpg","E14000845","65840","North East Hertfordshire","England"
"David Davies","127","Monmouth","Conservative","1453","3153","2431","http://sexymp.co.uk/mp/146.jpg","W07000054","66084","Monmouth","Wales"
"David Hamilton","128","Midlothian","Labour","1580","3047","2827","http://sexymp.co.uk/mp/255.jpg","S14000045","14441","Midlothian","Scotland"
"David Nuttal","129","Bury North","Conservative","1481","3083","2482","http://sexymp.co.uk/mp/458.jpg","E14000611","66015","Bury North","England"
"Peter Bone","130","Wellingborough","Conservative","1556","2979","2676","http://sexymp.co.uk/mp/61.jpg","E14001025","65830","Wellingborough","England"
"Douglas Carswell","131","Clacton","Conservative","1509","3143","2646","http://sexymp.co.uk/mp/104.jpg","E14000642","66030","Clacton","England"
"Mark Francois","132","Rayleigh and Wickford","Conservative","1444","3077","2347","http://sexymp.co.uk/mp/210.jpg","E14000888","65795","Rayleigh and Wickford","England"
"Crispin Blunt","133","Reigate","Conservative","1463","3177","2501","http://sexymp.co.uk/mp/59.jpg","E14000893","66005","Reigate","England"
"Charlie Elphicke","134","Dover","Conservative","1370","3398","2293","http://sexymp.co.uk/mp/186.jpg","E14000670","65555","Dover","England"
"Simon Hart","135","Carmarthen West and South Pembrokeshire","Conservative","1390","3198","2238","http://sexymp.co.uk/mp/268.jpg","W07000066","66109","Carmarthen West and South Pembrokeshire","Wales"
"Hugh Bayley","136","York Central","Labour","1588","2999","2823","http://sexymp.co.uk/mp/34.jpg","E14001061","65965","York Central","England"
"Anas Sarwar","137","Glasgow Central","Labour","1484","3504","2856","http://sexymp.co.uk/mp/526.jpg","S14000029","14425","Glasgow Central","Scotland"
"Greg Clark","138","Tunbridge Wells","Conservative","1437","3178","2415","http://sexymp.co.uk/mp/111.jpg","E14001004","65660","Tunbridge Wells","England"
"Andrew Griffiths","139","Burton","Conservative","1390","3244","2277","http://sexymp.co.uk/mp/247.jpg","E14000610","65708","Burton","England"
"Daniel Poulter","140","Central Suffolk and North Ipswich","Conservative","1432","3177","2390","http://sexymp.co.uk/mp/485.jpg","E14000624","65748","Central Suffolk and North Ipswich","England"
"Charles Walker","141","Broxbourne","Conservative","1395","3633","2572","http://sexymp.co.uk/mp/604.jpg","E14000606","65639","Broxbourne","England"
"Michael Elliss","142","Northampton North","Conservative","1444","3110","2393","http://sexymp.co.uk/mp/182.jpg","E14000861","66059","Northampton North","England"
